workerid,proliferate.condition,resp_b,resp_c,resp_t,trial,error
369,condition1,98,97,98,1,
369,condition1,98,98,97,2,
369,condition1,69,97,69,8,
369,condition1,89,71,74,13,
369,condition1,82,92,98,12,
369,condition1,99,86,98,15,
369,condition1,76,97,99,16,
369,condition1,81,100,81,22,
369,condition1,77,98,87,21,
369,condition1,86,87,96,20,
369,condition1,73,64,74,11,
369,condition1,61,99,78,10,
369,condition1,77,97,70,5,
369,condition1,100,100,100,X1,
369,condition1,80,100,89,14,
369,condition1,100,100,75,4,
369,condition1,81,100,78,17,
369,condition1,82,100,82,18,
369,condition1,64,100,78,3,
369,condition1,76,66,82,7,
369,condition1,82,88,100,6,
369,condition1,100,81,72,9,
369,condition1,65,80,68,19,
335,condition1,100,100,100,1,
335,condition1,100,100,100,2,
335,condition1,86,87,87,13,
335,condition1,100,100,100,11,
335,condition1,100,100,100,22,
335,condition1,99,99,99,12,
335,condition1,98,97,100,16,
335,condition1,99,100,99,8,
335,condition1,100,99,100,15,
335,condition1,100,100,100,18,
335,condition1,100,100,100,6,
335,condition1,100,100,98,7,
335,condition1,99,98,100,5,
335,condition1,100,100,100,X1,
335,condition1,100,100,100,4,
335,condition1,98,100,100,20,
335,condition1,100,100,100,19,
335,condition1,99,98,99,21,
335,condition1,99,99,100,3,
335,condition1,98,99,99,17,
335,condition1,99,100,97,14,
335,condition1,66,98,100,10,
335,condition1,98,99,98,9,
330,condition1,100,100,100,1,
330,condition1,29,100,81,2,
330,condition1,100,58,60,19,
330,condition1,50,30,42,14,
330,condition1,54,70,49,11,
330,condition1,53,41,51,13,
330,condition1,57,41,43,6,
330,condition1,60,46,45,5,
330,condition1,48,43,46,12,
330,condition1,56,51,44,8,
330,condition1,40,46,55,22,
330,condition1,43,30,41,9,
330,condition1,25,100,82,10,
330,condition1,97,100,99,X1,
330,condition1,93,54,25,4,
330,condition1,28,100,61,16,
330,condition1,39,83,60,15,
330,condition1,49,88,77,18,
330,condition1,25,47,39,20,
330,condition1,37,93,15,17,
330,condition1,66,5,42,7,
330,condition1,99,42,63,3,
330,condition1,100,25,33,21,
345,condition1,100,100,100,1,
