workerid,proliferate.condition,resp_b,resp_c,resp_t,trial,error
295,condition1,100,100,100,7,
295,condition1,100,100,100,10,
295,condition1,99,99,99,17,
295,condition1,99,99,99,13,
295,condition1,99,99,99,X1,
295,condition1,99,99,99,6,
295,condition1,100,99,100,21,
295,condition1,99,99,99,8,
295,condition1,99,99,100,15,
295,condition1,99,99,99,20,
295,condition1,100,99,100,18,
295,condition1,99,99,99,5,
295,condition1,100,100,100,19,
295,condition1,99,99,100,3,
277,condition1,64,23,68,1,
277,condition1,50,46,51,2,
277,condition1,52,42,65,6,
277,condition1,66,61,66,18,
277,condition1,52,78,88,13,
277,condition1,60,54,62,19,
277,condition1,100,0,0,5,
277,condition1,73,74,36,15,
277,condition1,55,57,39,17,
277,condition1,56,57,100,4,
277,condition1,55,63,68,14,
277,condition1,59,100,23,9,
277,condition1,57,58,59,X1,
277,condition1,49,27,100,10,
277,condition1,47,84,46,8,
277,condition1,57,56,56,21,
277,condition1,78,77,77,20,
277,condition1,72,76,71,3,
277,condition1,58,81,57,7,
277,condition1,79,87,77,11,
277,condition1,30,23,38,16,
277,condition1,46,41,42,12,
312,condition1,99,100,86,1,
312,condition1,98,99,85,2,
312,condition1,100,100,74,17,
312,condition1,100,93,79,20,
312,condition1,100,100,87,13,
312,condition1,100,100,81,6,
312,condition1,100,100,84,12,
312,condition1,100,100,86,3,
312,condition1,99,100,85,15,
312,condition1,99,100,81,18,
312,condition1,100,100,87,21,
312,condition1,96,100,93,7,
312,condition1,97,96,97,X1,
312,condition1,95,95,97,9,
312,condition1,94,95,97,4,
312,condition1,94,95,93,14,
312,condition1,93,92,96,16,
312,condition1,92,94,95,5,
312,condition1,96,98,81,8,
312,condition1,95,98,84,10,
312,condition1,98,94,86,11,
312,condition1,94,96,84,19,
294,condition1,53,52,53,1,
294,condition1,54,52,54,2,
294,condition1,57,56,57,16,
294,condition1,55,55,56,6,
294,condition1,55,54,56,17,
294,condition1,56,56,58,10,
294,condition1,61,60,59,20,
294,condition1,60,60,59,8,
294,condition1,55,55,53,21,
294,condition1,54,54,53,7,
294,condition1,54,54,54,15,
294,condition1,56,54,52,19,
294,condition1,53,51,50,X1,
294,condition1,52,51,52,4,
294,condition1,54,54,51,11,
294,condition1,55,56,54,5,
294,condition1,53,53,50,3,
294,condition1,53,53,53,12,
294,condition1,53,52,53,18,
294,condition1,53,54,53,9,
294,condition1,58,60,57,13,
294,condition1,57,55,54,14,
314,condition1,55,55,55,1,
314,condition1,56,51,52,2,
314,condition1,47,47,46,18,
314,condition1,53,53,47,4,
314,condition1,44,42,44,19,
314,condition1,43,44,43,12,
314,condition1,50,49,49,6,
314,condition1,47,62,62,3,
314,condition1,38,63,66,5,
314,condition1,41,40,41,20,
314,condition1,40,43,50,10,
314,condition1,51,56,45,8,
314,condition1,76,77,75,X1,
314,condition1,59,59,59,21,
314,condition1,45,45,48,15,
314,condition1,40,41,50,17,
314,condition1,54,59,47,7,
314,condition1,54,58,54,9,
314,condition1,48,52,56,16,
314,condition1,62,61,70,11,
314,condition1,57,45,58,14,
314,condition1,60,64,63,13,
272,condition1,32,64,50,1,
272,condition1,67,25,44,2,
272,condition1,53,73,32,7,
272,condition1,45,45,65,16,
272,condition1,77,53,54,6,
272,condition1,48,32,32,20,
272,condition1,29,29,29,18,
272,condition1,14,14,62,11,
272,condition1,39,71,39,9,
272,condition1,74,74,22,4,
272,condition1,29,13,29,19,
272,condition1,12,24,74,10,
272,condition1,81,81,81,X1,
272,condition1,58,86,14,8,
272,condition1,57,14,57,14,
272,condition1,15,15,15,21,
272,condition1,21,21,55,15,
272,condition1,24,56,57,13,
272,condition1,68,68,68,12,
272,condition1,9,84,85,5,
272,condition1,42,68,68,3,
272,condition1,26,11,60,17,
287,condition1,26,99,48,1,
287,condition1,47,26,40,2,
287,condition1,25,24,25,21,
287,condition1,30,30,99,11,
287,condition1,98,98,40,4,
287,condition1,97,48,52,6,
287,condition1,43,97,99,3,
287,condition1,26,26,54,17,
287,condition1,35,99,99,5,
287,condition1,33,34,33,18,
287,condition1,32,28,50,15,
287,condition1,26,32,61,16,
287,condition1,98,98,99,X1,
287,condition1,53,98,31,8,
287,condition1,52,98,54,9,
287,condition1,38,43,48,13,
287,condition1,40,24,41,19,
287,condition1,49,49,49,12,
287,condition1,35,34,98,10,
287,condition1,59,99,35,7,
287,condition1,48,25,48,14,
287,condition1,44,28,31,20,
298,condition1,98,98,98,1,
298,condition1,98,99,99,2,
298,condition1,98,99,99,12,
298,condition1,99,99,99,19,
298,condition1,99,100,99,3,
298,condition1,99,100,98,20,
298,condition1,99,99,99,7,
298,condition1,100,100,99,15,
298,condition1,100,99,100,17,
298,condition1,100,99,99,9,
298,condition1,99,100,98,8,
298,condition1,100,99,99,21,
298,condition1,98,99,99,X1,
298,condition1,99,99,99,14,
298,condition1,100,99,99,11,
298,condition1,99,99,100,5,
298,condition1,99,99,99,6,
298,condition1,100,100,100,4,
298,condition1,100,100,98,18,
298,condition1,99,99,99,10,
298,condition1,99,99,99,16,
298,condition1,99,100,99,13,
316,condition1,76,100,92,1,
316,condition1,94,73,82,2,
316,condition1,79,79,100,15,
316,condition1,100,94,94,6,
316,condition1,100,100,92,4,
316,condition1,82,86,92,16,
316,condition1,91,86,86,20,
316,condition1,94,100,92,7,
316,condition1,96,100,91,8,
316,condition1,92,100,100,3,
316,condition1,81,100,100,5,
316,condition1,93,74,93,14,
316,condition1,100,100,100,X1,
316,condition1,77,77,92,17,
316,condition1,84,84,84,18,
316,condition1,91,86,100,11,
316,condition1,88,80,89,19,
316,condition1,90,100,90,9,
316,condition1,87,92,92,13,
316,condition1,79,79,79,21,
316,condition1,73,79,100,10,
316,condition1,88,88,88,12,
320,condition1,82,100,83,1,
320,condition1,92,84,86,2,
320,condition1,83,75,83,19,
320,condition1,79,78,91,17,
320,condition1,98,98,86,4,
320,condition1,92,97,82,8,
320,condition1,96,82,83,3,
320,condition1,83,90,91,13,
320,condition1,90,89,97,15,
320,condition1,85,85,85,18,
320,condition1,98,84,85,6,
320,condition1,81,95,97,5,
320,condition1,98,98,97,X1,
320,condition1,94,83,94,14,
320,condition1,90,90,90,12,
320,condition1,85,99,77,7,
320,condition1,88,99,84,9,
320,condition1,87,84,98,11,
320,condition1,81,81,82,21,
320,condition1,75,81,97,10,
320,condition1,87,79,78,20,
320,condition1,78,84,93,16,
305,condition1,70,89,70,1,
305,condition1,83,83,83,2,
305,condition1,78,78,95,15,
305,condition1,55,55,67,17,
305,condition1,57,57,57,12,
305,condition1,57,56,91,10,
305,condition1,63,63,63,19,
305,condition1,60,60,60,4,
305,condition1,61,79,80,3,
305,condition1,51,51,51,18,
305,condition1,58,57,58,20,
305,condition1,57,56,57,14,
305,condition1,100,100,100,X1,
305,condition1,61,80,61,9,
305,condition1,72,97,97,5,
305,condition1,48,48,48,21,
305,condition1,53,53,67,16,
305,condition1,60,60,76,11,
305,condition1,53,62,63,13,
305,condition1,68,86,49,8,
305,condition1,100,77,77,6,
305,condition1,75,100,68,7,
286,condition1,17,83,45,1,
286,condition1,82,18,40,2,
286,condition1,72,49,46,6,
286,condition1,50,50,49,12,
286,condition1,44,77,68,3,
286,condition1,33,23,30,19,
286,condition1,11,25,48,16,
286,condition1,33,49,50,13,
286,condition1,50,85,12,8,
286,condition1,13,31,74,10,
286,condition1,38,25,25,20,
286,condition1,32,37,48,15,
286,condition1,83,80,82,X1,
286,condition1,25,27,25,18,
286,condition1,16,16,16,21,
286,condition1,45,82,20,7,
286,condition1,79,84,15,4,
286,condition1,19,19,47,17,
286,condition1,20,20,80,11,
286,condition1,17,84,16,9,
286,condition1,13,81,80,5,
286,condition1,45,16,44,14,
284,condition1,35,54,28,1,
284,condition1,40,52,33,2,
284,condition1,38,50,29,17,
284,condition1,40,49,40,10,
284,condition1,42,50,39,3,
284,condition1,41,54,33,7,
284,condition1,38,45,34,21,
284,condition1,35,42,34,5,
284,condition1,43,52,41,19,
284,condition1,42,52,36,13,
284,condition1,41,53,35,4,
284,condition1,42,51,37,18,
284,condition1,48,51,42,X1,
284,condition1,46,54,44,14,
284,condition1,45,51,44,16,
284,condition1,46,52,43,9,
284,condition1,48,53,42,12,
284,condition1,42,48,39,11,
284,condition1,42,48,37,15,
284,condition1,43,51,41,6,
284,condition1,40,47,39,20,
284,condition1,43,50,41,8,
271,condition1,47,100,67,1,
271,condition1,79,28,51,2,
271,condition1,50,51,49,12,
271,condition1,33,62,96,10,
271,condition1,26,62,64,21,
271,condition1,96,56,55,6,
271,condition1,64,27,65,19,
271,condition1,73,33,74,14,
271,condition1,62,96,23,8,
271,condition1,19,42,72,16,
271,condition1,58,91,26,7,
271,condition1,52,53,51,18,
271,condition1,100,100,100,X1,
271,condition1,32,52,93,11,
271,condition1,40,41,75,15,
271,condition1,54,53,52,20,
271,condition1,100,100,48,4,
271,condition1,60,96,60,9,
271,condition1,49,100,100,5,
271,condition1,74,99,97,3,
271,condition1,56,77,78,13,
271,condition1,46,46,76,17,
292,condition1,34,97,63,1,
292,condition1,51,25,39,2,
292,condition1,25,39,87,10,
292,condition1,32,30,24,20,
292,condition1,27,25,25,19,
292,condition1,27,27,28,21,
292,condition1,48,24,47,14,
292,condition1,20,29,51,16,
292,condition1,33,32,55,15,
292,condition1,31,29,54,17,
292,condition1,32,55,56,13,
292,condition1,35,35,36,18,
292,condition1,97,96,100,X1,
292,condition1,54,99,99,3,
292,condition1,26,21,86,11,
292,condition1,94,92,30,4,
292,condition1,48,98,24,7,
292,condition1,100,51,49,6,
292,condition1,49,98,21,8,
292,condition1,30,98,99,5,
292,condition1,23,99,24,9,
292,condition1,49,49,49,12,
310,condition1,89,100,89,1,
310,condition1,92,71,81,2,
310,condition1,87,87,95,15,
310,condition1,97,88,89,6,
310,condition1,94,94,94,20,
310,condition1,91,91,96,17,
310,condition1,96,96,96,19,
310,condition1,91,98,92,9,
310,condition1,100,100,96,4,
310,condition1,96,96,100,10,
310,condition1,99,99,98,18,
310,condition1,94,100,98,5,
310,condition1,99,99,99,X1,
310,condition1,96,100,99,3,
310,condition1,97,97,97,12,
310,condition1,94,100,96,7,
310,condition1,98,91,98,14,
310,condition1,92,95,97,16,
310,condition1,96,100,95,8,
310,condition1,94,94,99,11,
310,condition1,94,96,96,13,
310,condition1,96,96,96,21,
274,condition1,100,99,99,1,
274,condition1,99,100,99,2,
274,condition1,100,99,98,15,
274,condition1,100,100,100,16,
274,condition1,62,62,98,10,
274,condition1,91,81,90,14,
274,condition1,64,100,98,5,
274,condition1,100,100,100,19,
274,condition1,100,100,100,18,
274,condition1,100,100,100,12,
274,condition1,100,100,100,20,
274,condition1,75,100,75,9,
274,condition1,100,100,99,X1,
274,condition1,75,75,100,11,
274,condition1,81,100,81,7,
274,condition1,82,100,100,3,
274,condition1,100,100,85,4,
274,condition1,99,85,85,6,
274,condition1,100,100,100,21,
274,condition1,100,100,100,13,
274,condition1,99,84,100,8,
274,condition1,100,100,100,17,
281,condition1,43,100,55,1,
281,condition1,69,20,52,2,
281,condition1,38,88,38,9,
281,condition1,15,16,93,11,
281,condition1,59,94,24,8,
281,condition1,83,84,35,4,
281,condition1,41,42,53,15,
281,condition1,14,25,24,16,
281,condition1,24,26,24,18,
281,condition1,30,89,89,5,
281,condition1,93,41,41,6,
281,condition1,16,17,100,10,
281,condition1,99,100,96,X1,
281,condition1,30,20,32,19,
281,condition1,15,13,10,21,
281,condition1,33,9,33,14,
281,condition1,46,99,26,7,
281,condition1,27,40,40,13,
281,condition1,23,24,44,17,
281,condition1,25,16,16,20,
281,condition1,52,91,90,3,
281,condition1,38,37,38,12,
285,condition1,78,76,77,1,
285,condition1,80,79,81,2,
285,condition1,80,77,79,14,
285,condition1,81,79,78,20,
285,condition1,83,81,84,6,
285,condition1,79,77,80,13,
285,condition1,82,81,82,5,
285,condition1,81,79,78,19,
285,condition1,81,82,83,12,
285,condition1,81,81,80,4,
285,condition1,80,79,80,17,
285,condition1,81,79,80,9,
285,condition1,80,81,81,X1,
285,condition1,80,79,80,16,
285,condition1,78,76,78,18,
285,condition1,80,80,80,7,
285,condition1,78,77,79,8,
285,condition1,79,79,77,15,
285,condition1,78,75,78,21,
285,condition1,77,77,79,11,
285,condition1,79,75,78,10,
285,condition1,79,78,80,3,
313,condition1,47,100,83,1,
313,condition1,86,36,65,2,
313,condition1,77,52,63,12,
313,condition1,72,52,93,15,
313,condition1,54,47,83,17,
313,condition1,59,25,31,20,
313,condition1,39,27,100,11,
313,condition1,100,65,81,6,
313,condition1,88,100,100,3,
313,condition1,36,54,100,10,
313,condition1,82,100,37,8,
313,condition1,63,46,53,18,
313,condition1,100,100,100,X1,
313,condition1,73,20,67,14,
313,condition1,67,100,57,9,
313,condition1,46,14,20,21,
313,condition1,62,14,48,19,
313,condition1,30,39,77,16,
313,condition1,100,100,51,4,
313,condition1,41,100,100,5,
313,condition1,43,54,71,13,
313,condition1,78,100,48,7,
303,condition1,33,100,51,1,
303,condition1,54,16,33,2,
303,condition1,26,50,48,13,
303,condition1,100,100,29,4,
303,condition1,49,100,22,8,
303,condition1,15,30,50,16,
303,condition1,28,28,28,18,
303,condition1,19,19,51,17,
303,condition1,50,18,51,14,
303,condition1,28,17,17,20,
303,condition1,49,50,50,12,
303,condition1,100,48,49,6,
303,condition1,100,100,100,X1,
303,condition1,51,100,100,3,
303,condition1,19,19,20,21,
303,condition1,25,25,51,15,
303,condition1,18,100,100,5,
303,condition1,28,100,17,9,
303,condition1,20,19,100,11,
303,condition1,15,28,100,10,
303,condition1,14,25,15,19,
303,condition1,51,100,25,7,
319,condition1,77,98,84,1,
319,condition1,83,64,76,2,
319,condition1,62,84,84,13,
319,condition1,58,70,80,16,
319,condition1,60,84,85,3,
319,condition1,66,87,67,9,
319,condition1,70,41,70,14,
319,condition1,68,67,79,15,
319,condition1,69,68,69,18,
319,condition1,51,83,84,5,
319,condition1,88,65,64,6,
319,condition1,67,66,67,12,
319,condition1,95,94,95,X1,
319,condition1,84,84,54,4,
319,condition1,64,50,51,20,
319,condition1,56,56,76,17,
319,condition1,48,49,90,11,
319,condition1,69,89,41,8,
319,condition1,38,57,81,10,
319,condition1,62,82,45,7,
319,condition1,61,44,61,19,
319,condition1,42,43,43,21,
309,condition1,65,26,49,1,
309,condition1,49,84,64,2,
309,condition1,79,71,39,16,
309,condition1,47,78,46,14,
309,condition1,72,48,45,13,
309,condition1,18,45,45,6,
309,condition1,66,66,66,18,
309,condition1,45,81,81,3,
309,condition1,66,31,66,19,
309,condition1,48,48,72,10,
309,condition1,50,50,72,17,
309,condition1,67,67,67,12,
309,condition1,100,99,100,X1,
309,condition1,50,50,99,11,
309,condition1,66,52,53,20,
309,condition1,60,79,46,7,
309,condition1,56,56,57,21,
309,condition1,65,80,80,5,
309,condition1,73,73,73,9,
309,condition1,83,83,83,15,
309,condition1,94,94,94,8,
309,condition1,89,89,89,4,
307,condition1,100,96,95,1,
307,condition1,95,95,96,2,
307,condition1,97,96,95,18,
307,condition1,96,98,96,12,
307,condition1,96,100,96,9,
307,condition1,96,99,94,5,
307,condition1,95,97,96,10,
307,condition1,95,99,100,15,
307,condition1,100,99,100,11,
307,condition1,97,95,98,13,
307,condition1,96,97,99,3,
307,condition1,96,99,100,6,
307,condition1,96,98,99,X1,
307,condition1,96,96,98,20,
307,condition1,96,96,97,8,
307,condition1,98,98,99,19,
307,condition1,97,96,95,14,
307,condition1,96,99,98,16,
307,condition1,95,97,98,17,
307,condition1,96,96,95,21,
307,condition1,97,95,96,4,
307,condition1,96,96,96,7,
275,condition1,32,82,67,1,
275,condition1,17,85,86,2,
275,condition1,71,72,30,10,
275,condition1,77,78,29,11,
275,condition1,76,54,51,15,
275,condition1,35,81,37,14,
275,condition1,50,19,80,8,
275,condition1,46,48,46,18,
275,condition1,78,67,65,3,
275,condition1,59,75,74,20,
275,condition1,80,81,34,17,
275,condition1,89,88,44,4,
275,condition1,100,100,100,X1,
275,condition1,60,79,60,19,
275,condition1,49,47,48,21,
275,condition1,83,57,59,6,
275,condition1,61,100,60,9,
275,condition1,61,76,75,13,
275,condition1,70,100,100,5,
275,condition1,55,69,81,16,
