id,trial,b,y
6954,17,79,99
6954,7,99,70
6954,19,19,45
6951,1,13,73
6951,2,69,67
6951,10,9,9
6951,15,11,11
6951,9,10,9
6951,4,7,7
6951,21,64,8
6951,8,67,67
6951,18,67,10
6951,5,14,67
6951,11,65,17
6951,7,70,70
6951,6,11,69
6951,14,68,67
6951,16,12,12
6951,13,71,70
6951,17,17,18
6951,19,16,16
6951,20,14,13
6951,3,11,11
6951,12,12,12
6977,1,52,52
6977,2,56,56
6977,20,56,56
6977,15,56,40
6977,14,46,46
6977,7,52,52
6977,19,50,50
6977,11,57,57
6977,21,100,100
6977,10,33,33
6977,17,23,23
6977,16,29,29
6977,9,33,33
6977,8,34,34
6977,4,48,48
6977,12,33,40
6977,6,46,46
6977,5,47,47
6977,18,24,24
6977,3,47,47
6977,13,20,20
6805,1,100,100
6805,2,100,100
6805,19,100,100
6805,13,100,100
6805,7,100,100
6805,14,100,100
6805,4,100,100
6805,3,100,100
6805,10,100,100
6805,6,100,100
6805,15,100,100
6805,16,100,100
6805,8,100,100
6805,11,100,100
6805,17,100,100
6805,20,100,100
6805,18,100,100
6805,5,100,100
6805,9,100,100
6805,21,100,100
6805,12,100,100
6824,1,78,98
6824,2,96,97
6824,18,97,68
6824,7,97,97
6824,12,71,98
6824,9,74,73
6824,5,77,97
6824,13,100,98
6824,11,98,69
6824,15,67,67
6824,21,98,70
6824,3,98,97
6824,8,97,99
6824,6,73,99
6824,17,72,98
6824,16,69,69
6824,10,70,70
6824,19,95,69
6824,14,97,98
6824,4,71,71
6824,20,98,67
6982,1,52,59
6982,2,82,40
6982,5,57,63
6982,14,74,64
6982,15,51,62
6982,7,54,54
6982,6,0,99
6982,18,83,83
6982,12,41,55
6982,19,73,48
6982,21,59,67
6982,13,53,54
6982,10,70,68
6982,8,88,90
6982,9,58,57
6982,16,20,26
6982,4,66,67
6982,3,37,37
6982,11,70,73
6982,20,55,55
6982,17,50,41
6673,1,22,79
6673,2,36,59
6673,16,90,42
6673,13,19,26
6673,10,83,57
6673,21,95,94
6673,6,80,47
6673,20,90,94
6673,14,89,28
6673,8,67,91
6673,9,51,65
6673,12,94,94
6673,18,49,69
6673,5,73,50
6673,3,50,82
6673,11,12,48
6673,17,29,3
6673,19,41,59
6673,15,79,30
6673,7,16,46
6673,4,98,73
6940,1,28,77
6940,2,78,78
6940,4,79,24
6940,19,53,20
6940,10,68,55
6940,8,32,82
6940,12,21,80
6940,17,18,19
6940,14,90,32
6940,15,63,6
6940,18,13,28
6940,9,37,55
6940,21,100,100
6940,11,88,3
6940,6,37,80
6940,3,86,86
6940,5,25,87
6940,16,33,13
6940,7,86,86
6940,20,100,81
6940,13,98,100
6838,1,1,99
6838,2,50,97
6838,19,72,19
6838,13,28,43
6838,20,94,1
6838,12,1,97
6838,7,25,44
6838,8,49,26
6838,17,1,25
6838,6,4,95
6838,3,47,38
6838,16,7,3
6838,11,67,9
6838,10,18,14
6838,9,7,13
6838,4,16,11
6838,18,64,9
6838,5,4,61
6838,14,53,36
6838,15,4,9
6838,21,94,8
6889,1,97,97
6889,2,97,99
6889,5,99,99
6889,9,99,100
6889,16,97,98
6889,19,97,98
6889,4,100,100
6889,8,100,99
6889,12,100,99
6889,3,99,99
6889,15,99,100
6889,17,99,98
6889,21,100,98
6889,18,98,98
6889,11,99,99
6889,14,99,99
6889,13,100,99
6889,6,98,99
6889,7,99,100
6889,10,99,99
6889,20,99,99
6974,1,65,82
6974,2,100,100
6974,5,99,100
6974,4,98,97
6974,14,98,98
6974,19,99,99
6974,17,98,98
6974,11,99,98
6974,15,98,98
6974,10,99,98
6974,7,99,99
6974,20,99,99
6974,9,97,99
6974,8,98,98
6974,12,98,98
6974,13,98,97
6974,18,98,98
6974,6,98,97
6974,3,99,99
6974,16,98,96
6974,21,98,98
6970,1,15,85
6970,2,99,99
6970,15,82,81
6970,10,83,85
6970,9,83,82
6970,8,95,92
6970,16,58,59
6970,4,95,9
6970,13,95,93
6970,19,85,89
6970,18,53,56
6970,12,92,94
6970,14,72,72
6970,17,13,95
6970,21,88,91
6970,7,96,94
6970,3,67,66
6970,11,95,32
6970,6,87,97
6970,20,98,49
6970,5,32,98
6848,1,0,100
6848,2,15,54
6848,17,0,22
6848,4,28,0
6848,10,20,11
6848,3,35,70
6848,15,21,9
6848,16,34,11
6848,21,99,100
6848,20,40,21
6848,5,25,39
6848,13,7,35
6848,11,35,15
6848,14,48,20
6848,18,29,19
6848,7,29,40
6848,6,52,72
6848,19,50,32
6848,8,31,43
6848,12,33,39
6848,9,20,38
6933,1,16,69
6933,2,71,70
6933,11,66,8
6933,10,27,16
6933,14,67,70
6933,19,71,19
6933,16,17,19
6933,21,74,21
6933,3,68,71
6933,8,56,69
6933,18,74,18
6933,7,78,76
6933,20,72,15
6933,13,73,78
6933,6,16,79
6933,4,13,11
6933,5,51,73
6933,12,22,82
6933,15,20,20
6933,9,23,22
6933,17,25,80
6847,1,100,100
6847,2,100,100
6847,9,100,100
6847,21,100,100
6847,13,49,83
6847,8,100,100
6847,10,63,83
6847,14,65,86
6847,3,50,74
6847,16,29,60
6847,11,26,36
6847,5,15,48
6847,20,42,29
6847,15,29,15
6847,17,5,23
6847,4,30,25
6847,12,32,47
6847,7,33,41
6847,19,37,29
6847,18,37,14
6847,6,38,70
6821,1,32,85
6821,2,56,72
6821,8,57,74
6821,7,33,53
6821,11,39,39
6821,14,74,31
6821,9,33,52
6821,5,54,54
6821,12,62,62
6821,6,73,73
6821,18,38,48
6821,21,52,52
6821,4,68,51
6821,13,35,51
6821,19,50,69
6821,20,69,69
6821,16,78,48
6821,15,67,38
6821,10,69,49
6821,3,50,64
6821,17,30,29
6881,1,1,98
6881,2,96,96
6881,4,56,4
6881,20,96,70
6881,8,98,93
6881,11,98,73
6881,6,74,98
6881,16,58,34
6881,13,97,80
6881,3,83,93
6881,17,33,95
6881,9,22,27
6881,7,95,74
6881,21,95,67
6881,10,74,64
6881,5,31,93
6881,12,82,96
6881,19,94,27
6881,15,22,2
6881,18,93,29
6881,14,94,92
6908,1,97,100
6908,2,99,99
6908,6,99,100
6908,14,99,98
6908,8,98,97
6908,3,98,98
6908,12,98,100
6908,18,98,97
6908,9,96,96
6908,13,99,99
6908,4,99,99
6908,19,98,97
6908,17,99,98
6908,7,99,98
6908,11,99,98
6908,21,98,98
6908,10,98,99
6908,5,99,99
6908,15,100,98
6908,20,99,98
6908,16,98,99
6967,1,48,47
6967,2,46,44
6967,11,49,49
6967,4,48,46
6967,7,48,49
6967,16,49,47
6967,9,48,48
6967,10,48,48
6967,13,48,48
6967,8,48,49
6967,21,48,46
6967,19,48,47
6967,12,48,48
6967,18,47,47
6967,3,49,49
6967,6,47,47
6967,17,47,47
6967,5,48,47
6967,14,48,48
6967,20,48,48
6967,15,47,48
6909,1,21,76
6909,2,72,72
6909,7,69,69
6909,8,67,68
6909,10,13,12
6909,15,9,8
6909,12,18,81
6909,18,79,14
6909,20,80,16
6909,4,12,9
6909,13,11,85
6909,17,11,88
6909,9,13,12
6909,5,11,83
6909,11,83,12
6909,21,84,11
6909,3,84,83
6909,14,83,83
6909,16,13,13
6909,19,90,12
6909,6,12,86
6841,1,33,89
6841,2,78,76
6841,9,60,60
6841,7,84,81
6841,12,44,74
6841,21,82,43
6841,13,66,65
6841,4,41,61
6841,18,77,52
6841,16,51,45
6841,20,67,44
6841,6,42,72
6841,17,42,74
6841,5,47,78
6841,11,85,37
6841,8,71,71
6841,14,68,65
6841,10,52,52
6841,15,41,41
6841,19,81,68
6841,3,75,74
6852,1,25,54
6852,2,46,67
6852,14,59,32
6852,16,43,25
6852,18,21,22
6852,4,51,33
6852,8,44,71
6852,13,14,35
6852,12,50,21
6852,9,44,21
6852,20,66,65
6852,3,42,65
6852,7,51,74
6852,15,31,15
6852,11,16,20
6852,6,51,65
6852,19,51,38
6852,21,100,100
6852,17,4,12
6852,10,49,23
6852,5,32,49
6797,1,22,78
6797,2,48,48
6797,12,21,73
6797,6,25,74
6797,7,50,50
6797,20,74,23
6797,11,77,26
6797,18,79,27
6797,19,76,26
6797,9,49,49
6797,14,47,48
6797,3,49,49
6797,8,48,48
6797,13,50,49
6797,4,45,45
6797,10,47,47
6797,5,25,69
6797,21,75,29
6797,16,49,49
6797,17,26,72
6797,15,50,49
6882,1,21,96
6882,2,51,49
6882,12,13,57
6882,5,32,59
6882,15,42,71
6882,3,79,76
6882,13,78,80
6882,20,36,19
6882,8,81,70
6882,11,71,20
6882,4,9,11
6882,19,82,7
6882,7,80,79
6882,10,20,25
6882,14,82,74
6882,16,19,14
6882,6,87,75
6882,9,1,0
6882,21,35,1
6882,18,40,3
6882,17,20,59
6830,1,50,79
6830,2,98,100
6830,10,98,100
6830,21,82,50
6830,14,100,100
6830,19,98,22
6830,16,90,90
6830,12,22,94
6830,17,18,100
6830,5,22,100
6830,7,100,98
6830,15,100,100
6830,20,100,25
6830,11,89,22
6830,3,100,100
6830,9,17,15
6830,13,100,100
6830,8,98,99
6830,18,92,37
6830,6,30,95
6830,4,99,100
6985,1,100,100
6985,2,100,100
6985,13,98,97
6985,19,99,100
6985,18,99,99
6985,17,98,98
6985,5,98,96
6985,6,100,96
6985,7,100,100
6985,8,100,100
6985,16,100,100
6985,15,100,100
6985,9,100,100
6985,4,100,100
6985,11,100,100
6985,10,100,100
6985,14,100,100
6985,21,100,100
6985,3,100,100
6985,20,100,100
6985,12,100,100
6816,1,91,92
6816,2,45,93
6816,11,16,72
6816,20,76,16
6816,18,83,14
6816,7,41,78
6816,19,75,45
6816,4,16,33
6816,16,9,22
6816,15,38,14
6816,9,33,58
6816,6,21,77
6816,10,20,21
6816,17,88,19
6816,13,44,74
6816,21,92,96
6816,5,35,66
6816,8,49,80
6816,3,61,92
6816,14,96,82
6816,12,33,93
6876,1,100,100
6876,2,98,100
6876,7,99,100
6876,12,96,97
6876,9,98,100
6876,16,100,99
6876,10,98,100
6876,11,76,94
6876,8,98,100
6876,20,76,99
6876,21,72,98
6876,5,100,81
6876,17,100,76
6876,19,83,97
6876,3,99,99
6876,18,74,99
6876,6,98,51
6876,14,99,96
6876,4,98,98
6876,13,97,97
6876,15,100,99
6854,1,71,100
6854,2,71,71
6854,21,96,46
6854,13,54,79
6854,6,45,100
6854,7,65,74
6854,18,87,26
6854,12,22,100
6854,10,29,28
6854,20,100,12
6854,9,19,25
6854,3,62,74
6854,14,94,63
6854,8,71,93
6854,19,81,23
6854,4,47,14
6854,5,15,66
6854,17,0,33
6854,15,26,0
6854,11,49,7
6854,16,33,7
6870,1,3,97
6870,2,47,97
6870,8,46,99
6870,21,100,99
6870,12,47,97
6870,14,99,27
6870,7,18,49
6870,13,19,54
6870,5,2,54
6870,20,100,14
6870,18,30,2
6870,10,27,2
6870,17,0,19
6870,16,21,1
6870,6,49,99
6870,9,1,1
6870,3,48,98
6870,19,47,0
6870,4,48,1
6870,11,27,0
6870,15,2,2
6984,1,67,52
6984,2,37,55
6984,6,70,56
6984,7,34,50
6984,14,82,13
6984,11,77,72
6984,12,11,61
6984,17,61,48
6984,4,60,61
6984,15,23,48
6984,18,67,37
6984,5,66,90
6984,19,70,49
6984,20,31,56
6984,9,62,58
6984,16,26,40
6984,21,54,37
6984,8,56,12
6984,13,17,9
6984,3,40,59
6984,10,46,47
7104,1,49,49
7104,2,49,49
7104,5,50,50
7104,13,50,49
7104,11,51,51
7104,16,53,53
7104,9,51,51
7104,21,50,50
7104,3,50,50
7104,14,48,48
7104,7,48,48
7104,19,48,48
7104,4,47,47
7104,6,48,48
7104,18,47,47
7104,20,46,46
7104,8,51,51
7104,15,50,50
7104,17,49,49
7104,12,50,50
7104,10,50,50
7009,1,37,57
7009,2,50,59
7009,14,55,36
7009,7,36,45
7009,6,70,63
7009,19,57,47
7009,13,30,48
7009,18,31,41
7009,21,96,96
7009,4,60,37
7009,12,67,64
7009,15,31,37
7009,3,59,45
7009,8,35,64
7009,10,61,35
7009,5,31,41
7009,16,44,29
7009,11,32,38
7009,17,33,33
7009,20,54,30
7009,9,23,29
7016,1,99,100
7016,2,98,99
7016,19,98,86
7016,13,98,99
7016,6,91,99
7016,17,90,99
7016,20,98,91
7016,16,83,83
7016,15,86,87
7016,12,87,100
7016,11,89,99
7016,18,98,91
7016,3,98,99
7016,14,98,98
7016,4,84,86
7016,8,98,100
7016,21,98,92
7016,9,89,89
7016,5,89,99
7016,10,87,88
7016,7,99,98
