id,trial,c,t
6817,16,46,46
6817,20,99,49
6817,13,98,98
6817,8,97,97
6817,6,99,29
6817,18,99,23
6817,11,98,26
6817,21,98,32
6817,10,27,28
6817,12,96,10
6817,17,98,17
6817,14,98,98
6817,15,20,19
6800,1,70,30
6800,2,43,48
6800,16,52,72
6800,21,46,72
6800,10,86,61
6800,19,54,81
6800,17,45,76
6800,3,47,48
6800,4,67,74
6800,6,46,74
6800,9,72,72
6800,20,43,83
6800,18,44,65
6800,14,37,37
6800,15,74,79
6800,11,41,48
6800,8,53,51
6800,5,49,63
6800,13,49,49
6800,12,52,72
6800,7,51,49
6828,1,74,49
6828,2,98,45
6828,7,69,98
6828,14,57,25
6828,17,67,70
6828,3,72,96
6828,20,6,12
6828,15,48,19
6828,4,11,6
6828,21,51,48
6828,18,34,33
6828,13,55,42
6828,11,43,49
6828,6,21,21
6828,8,52,38
6828,12,7,21
6828,9,49,37
6828,19,35,43
6828,5,35,82
6828,10,9,24
6828,16,15,32
6777,1,88,70
6777,2,60,60
6777,15,92,91
6777,7,97,96
6777,6,88,77
6777,3,83,84
6777,10,98,100
6777,18,91,73
6777,12,86,96
6777,17,90,65
6777,21,86,73
6777,4,93,74
6777,13,93,93
6777,19,68,48
6777,20,89,87
6777,11,85,51
6777,16,61,81
6777,8,85,89
6777,5,93,79
6777,9,56,63
6777,14,90,89
6888,1,100,33
6888,2,95,76
6888,7,44,73
6888,6,64,96
6888,19,33,84
6888,20,81,97
6888,14,100,15
6888,18,49,90
6888,8,77,21
6888,12,75,100
6888,15,74,18
6888,16,23,82
6888,10,35,52
6888,9,38,37
6888,17,7,8
6888,4,100,12
6888,3,46,86
6888,5,30,7
6888,21,98,98
6888,11,18,5
6888,13,28,45
6891,1,100,100
6891,2,100,100
6891,16,100,100
6891,10,100,100
6891,8,100,100
6891,11,100,100
6891,19,100,100
6891,15,100,100
6891,20,100,100
6891,5,100,100
6891,18,100,100
6891,14,100,100
6891,17,100,100
6891,7,100,100
6891,9,100,100
6891,4,100,100
6891,21,100,100
6891,12,100,100
6891,6,100,100
6891,3,100,100
6891,13,100,100
6897,1,92,19
6897,2,40,23
6897,6,30,88
6897,12,66,89
6897,4,92,91
6897,15,38,42
6897,13,38,56
6897,16,46,94
6897,18,56,73
6897,21,61,95
6897,5,26,55
6897,14,69,49
6897,3,58,68
6897,11,37,40
6897,8,53,48
6897,10,56,96
6897,19,50,78
6897,17,26,58
6897,20,45,92
6897,7,20,42
6897,9,50,45
6843,1,100,100
6843,2,100,100
6843,20,100,100
6843,6,100,100
6843,16,100,100
6843,11,100,100
6843,13,100,100
6843,4,100,100
6843,5,100,100
6843,3,100,100
6843,7,100,100
6843,19,100,100
6843,8,100,100
6843,15,100,100
6843,17,98,99
6843,21,98,98
6843,12,100,100
6843,14,100,100
6843,10,100,100
6843,18,100,100
6843,9,100,100
6758,1,16,99
6758,2,100,99
6758,19,97,2
6758,12,98,3
6758,16,2,97
6758,6,98,0
6758,11,100,2
6758,17,96,3
6758,21,96,1
6758,5,100,0
6758,13,99,99
6758,18,100,2
6758,9,96,3
6758,4,0,1
6758,10,0,3
6758,3,100,99
6758,14,98,98
6758,8,99,98
6758,7,99,99
6758,20,98,2
6758,15,0,3
6904,1,87,88
6904,2,94,93
6904,19,95,95
6904,5,94,94
6904,18,94,94
6904,14,93,94
6904,7,98,98
6904,15,94,93
6904,21,91,91
6904,16,96,96
6904,11,96,96
6904,13,93,92
6904,10,98,98
6904,4,97,97
6904,12,99,99
6904,20,97,96
6904,3,93,92
6904,9,91,90
6904,6,95,94
6904,8,93,94
6904,17,91,91
6791,1,100,100
6791,2,99,99
6791,18,100,100
6791,16,99,98
6791,21,100,100
6791,17,100,100
6791,15,100,100
6791,7,100,100
6791,6,100,100
6791,4,100,100
6791,3,100,100
6791,10,100,100
6791,9,100,100
6791,13,100,100
6791,5,100,100
6791,11,100,100
6791,19,100,100
6791,8,100,100
6791,20,100,100
6791,14,100,100
6791,12,100,100
6878,1,74,33
6878,2,46,46
6878,18,32,73
6878,21,32,67
6878,6,33,71
6878,13,49,49
6878,5,80,29
6878,15,48,47
6878,9,48,48
6878,8,46,45
6878,17,28,75
6878,3,49,49
6878,20,33,72
6878,12,32,75
6878,7,48,48
6878,10,46,47
6878,16,47,46
6878,11,32,72
6878,19,34,73
6878,14,46,45
6878,4,46,46
6921,1,0,100
6921,2,100,100
6921,10,0,0
6921,12,0,100
6921,18,48,100
6921,8,100,100
6921,17,23,23
6921,21,100,100
6921,6,100,100
6921,4,100,49
6921,3,48,100
6921,5,100,100
6921,9,66,33
6921,19,50,74
6921,16,51,100
6921,13,20,72
6921,7,19,51
6921,15,69,24
6921,11,24,49
6921,14,100,27
6921,20,100,100
6937,1,99,99
6937,2,99,100
6937,20,76,98
6937,7,87,87
6937,5,97,98
6937,10,80,96
6937,4,98,90
6937,17,97,96
6937,11,97,96
6937,9,97,97
6937,19,95,95
6937,13,83,94
6937,12,89,97
6937,3,85,98
6937,18,92,97
6937,6,74,98
6937,16,81,97
6937,14,96,90
6937,8,98,89
6937,15,95,84
6937,21,100,100
6932,1,94,46
6932,2,87,86
6932,13,81,72
6932,16,79,45
6932,9,82,71
6932,3,89,90
6932,19,46,90
6932,4,97,95
6932,10,95,92
6932,17,83,84
6932,7,88,88
6932,6,36,87
6932,18,59,80
6932,15,56,56
6932,20,46,80
6932,5,76,47
6932,21,91,91
6932,12,86,61
6932,14,72,71
6932,8,72,70
6932,11,62,62
6943,1,95,75
6943,2,92,82
6943,15,100,100
6943,18,77,100
6943,14,78,64
6943,9,95,100
6943,5,77,99
6943,4,96,100
6943,13,88,92
6943,12,91,99
6943,3,81,86
6943,10,96,95
6943,11,79,99
6943,16,100,97
6943,6,88,94
6943,17,83,100
6943,20,91,100
6943,7,81,82
6943,19,85,97
6943,21,94,100
6943,8,93,87
6762,1,100,100
6762,2,100,100
6762,3,100,100
6762,18,100,66
6762,13,100,100
6762,8,100,100
6762,9,34,35
6762,17,100,33
6762,20,100,100
6762,21,100,100
6762,5,100,81
6762,16,70,83
6762,4,100,75
6762,7,100,100
6762,6,100,87
6762,10,75,100
6762,19,100,78
6762,12,100,100
6762,14,100,100
6762,11,100,69
6762,15,77,57
6761,1,0,50
6761,2,100,100
6761,3,52,100
6761,7,35,63
6761,19,53,0
6761,9,0,0
6761,13,22,49
6761,11,27,0
6761,5,47,0
6761,8,100,48
6761,21,100,0
6761,16,0,0
6761,6,100,0
6761,14,100,32
6761,18,27,0
6761,4,0,0
6761,20,100,0
6761,12,100,0
6761,17,23,0
6761,15,0,0
6761,10,0,0
6790,1,67,22
6790,2,48,48
6790,14,78,23
6790,18,31,53
6790,15,67,38
6790,20,48,75
6790,13,38,63
6790,8,56,36
6790,10,56,68
6790,3,51,51
6790,16,48,64
6790,21,43,45
6790,19,46,47
6790,12,27,60
6790,6,45,67
6790,17,19,48
6790,5,48,34
6790,9,21,22
6790,4,45,46
6790,7,42,41
6790,11,29,44
6869,1,76,25
6869,2,78,25
6869,8,67,23
6869,11,20,18
6869,16,12,80
6869,17,17,18
6869,7,15,16
6869,15,17,19
6869,20,15,74
6869,19,21,20
6869,3,21,23
6869,21,100,100
6869,10,30,71
6869,14,80,25
6869,6,81,83
6869,4,78,24
6869,18,18,20
6869,5,19,20
6869,9,16,17
6869,13,15,15
6869,12,77,76
6917,1,100,100
6917,2,100,100
6917,8,100,100
6917,14,100,100
6917,11,100,100
6917,6,100,100
6917,5,100,100
6917,4,100,100
6917,21,100,100
6917,20,100,100
6917,13,100,100
6917,3,100,100
6917,19,100,100
6917,7,100,100
6917,17,100,100
6917,12,100,100
6917,18,100,100
6917,15,100,100
6917,10,100,100
6917,16,100,100
6917,9,100,100
6811,1,14,87
6811,2,100,100
6811,8,97,20
6811,21,48,96
6811,11,50,96
6811,13,37,70
6811,9,37,36
6811,12,83,57
6811,5,81,45
6811,17,76,8
6811,7,90,99
6811,19,68,21
6811,20,99,33
6811,10,29,22
6811,16,37,34
6811,3,79,97
6811,4,30,22
6811,14,96,88
6811,15,37,1
6811,18,76,35
6811,6,96,20
6860,1,100,100
6860,2,100,100
6860,8,100,100
6860,21,100,100
6860,10,100,100
6860,11,100,100
6860,19,100,100
6860,9,100,100
6860,5,100,100
6860,3,100,100
6860,17,100,100
6860,20,100,100
6860,6,99,100
6860,13,100,100
6860,4,100,100
6860,15,100,100
6860,14,100,100
6860,18,100,100
6860,12,100,100
6860,7,100,100
6860,16,100,100
6948,1,47,92
6948,2,73,73
6948,9,87,87
6948,3,75,75
6948,7,70,70
6948,13,72,72
6948,5,80,56
6948,19,76,56
6948,17,72,57
6948,10,93,92
6948,18,78,59
6948,4,81,82
6948,14,68,67
6948,8,71,70
6948,12,78,58
6948,21,90,90
6948,20,84,69
6948,15,84,84
6948,11,78,63
6948,16,84,83
6948,6,78,70
6949,1,99,89
6949,2,93,93
6949,13,64,84
6949,19,91,91
6949,15,97,91
6949,9,91,88
6949,3,85,92
6949,5,87,87
6949,7,89,92
6949,18,88,89
6949,20,96,100
6949,21,100,100
6949,6,100,100
6949,11,92,95
6949,12,95,100
6949,17,83,87
6949,8,92,88
6949,14,93,89
6949,4,99,96
6949,16,90,97
6949,10,89,95
