workerid,proliferate.condition,resp_b,resp_g,resp_y,trial,error
537,condition1,97,49,49,1,
537,condition1,46,43,97,2,
537,condition1,57,2,95,15,
537,condition1,1,63,22,12,
537,condition1,46,86,1,7,
537,condition1,45,60,9,6,
537,condition1,6,98,47,4,
537,condition1,96,34,14,14,
537,condition1,96,29,86,16,
537,condition1,14,80,45,20,
537,condition1,64,3,62,13,
537,condition1,7,47,77,8,
537,condition1,45,44,97,18,
537,condition1,45,46,48,X1,
537,condition1,0,75,46,3,
537,condition1,3,48,22,11,
537,condition1,4,96,72,10,
537,condition1,96,52,4,21,
537,condition1,1,45,98,22,
537,condition1,48,2,25,5,
537,condition1,47,11,98,17,
537,condition1,13,46,98,9,
537,condition1,1,23,46,19,
546,condition1,82,79,82,1,
546,condition1,81,96,74,2,
546,condition1,94,63,68,5,
546,condition1,88,64,78,11,
546,condition1,73,64,88,12,
546,condition1,96,79,71,6,
546,condition1,79,76,57,22,
546,condition1,74,70,85,13,
546,condition1,65,66,74,15,
546,condition1,62,52,67,20,
546,condition1,79,73,98,3,
546,condition1,66,59,80,17,
546,condition1,78,61,83,16,
546,condition1,98,97,98,X1,
546,condition1,71,64,82,19,
546,condition1,62,92,66,7,
546,condition1,82,78,54,21,
546,condition1,60,56,99,4,
546,condition1,67,76,64,18,
546,condition1,53,89,65,8,
546,condition1,69,90,60,9,
546,condition1,73,63,83,14,
546,condition1,72,65,92,10,
507,condition1,66,100,54,1,
507,condition1,42,99,17,2,
507,condition1,57,45,70,20,
507,condition1,88,71,78,19,
507,condition1,92,19,70,10,
507,condition1,95,10,100,3,
507,condition1,61,61,1,18,
507,condition1,76,89,27,13,
507,condition1,100,51,76,6,
507,condition1,88,62,14,22,
507,condition1,2,48,35,16,
507,condition1,100,91,72,5,
507,condition1,48,55,18,8,
507,condition1,100,100,100,X1,
507,condition1,74,0,100,4,
507,condition1,40,67,21,15,
507,condition1,57,76,91,7,
507,condition1,83,56,66,11,
507,condition1,68,80,60,17,
507,condition1,81,31,2,9,
507,condition1,74,59,81,12,
507,condition1,56,71,84,21,
507,condition1,40,74,92,14,
523,condition1,76,100,49,1,
523,condition1,21,88,64,2,
523,condition1,71,33,18,14,
523,condition1,86,6,36,5,
523,condition1,23,48,31,11,
523,condition1,27,82,79,4,
523,condition1,32,63,69,8,
523,condition1,33,78,11,7,
523,condition1,43,18,78,17,
523,condition1,70,34,12,21,
523,condition1,16,68,60,10,
523,condition1,94,38,77,16,
523,condition1,28,47,37,20,
523,condition1,100,100,100,X1,
523,condition1,75,37,13,6,
523,condition1,16,32,45,19,
523,condition1,5,66,38,12,
523,condition1,28,29,12,18,
523,condition1,26,45,85,9,
523,condition1,62,41,54,15,
523,condition1,25,57,69,3,
523,condition1,15,42,65,22,
523,condition1,38,8,52,13,
508,condition1,98,98,98,1,
508,condition1,100,100,97,2,
508,condition1,87,98,86,7,
508,condition1,97,98,58,18,
508,condition1,83,99,98,9,
508,condition1,89,56,99,13,
508,condition1,97,75,38,21,
508,condition1,65,91,97,3,
508,condition1,57,99,95,10,
508,condition1,84,64,92,5,
508,condition1,99,80,75,14,
508,condition1,79,48,100,15,
508,condition1,52,70,49,11,
508,condition1,99,99,99,X1,
508,condition1,27,48,46,19,
508,condition1,51,98,73,4,
508,condition1,89,72,100,17,
508,condition1,100,74,98,16,
508,condition1,76,52,34,6,
508,condition1,36,99,73,8,
508,condition1,25,50,100,22,
508,condition1,50,71,34,20,
508,condition1,25,92,41,12,
530,condition1,68,68,32,1,
530,condition1,42,48,76,2,
530,condition1,50,48,6,18,
530,condition1,66,0,75,4,
530,condition1,100,80,69,19,
530,condition1,6,61,29,16,
530,condition1,44,100,43,13,
530,condition1,34,61,10,15,
530,condition1,26,37,100,21,
530,condition1,61,44,97,7,
530,condition1,100,46,7,9,
530,condition1,100,15,17,10,
530,condition1,79,100,16,17,
530,condition1,48,48,47,X1,
530,condition1,71,12,22,20,
530,condition1,80,45,57,11,
530,condition1,69,34,16,8,
530,condition1,26,45,100,14,
530,condition1,100,50,5,22,
530,condition1,100,35,89,12,
530,condition1,77,26,60,6,
530,condition1,71,29,75,3,
530,condition1,100,88,46,5,
500,condition1,97,97,97,1,
500,condition1,100,100,100,2,
500,condition1,100,100,100,18,
500,condition1,100,100,100,8,
500,condition1,100,75,54,22,
500,condition1,39,58,51,15,
500,condition1,100,51,100,12,
500,condition1,100,77,90,6,
500,condition1,48,64,100,14,
500,condition1,82,100,70,13,
500,condition1,100,63,46,9,
500,condition1,39,77,52,16,
500,condition1,93,65,69,19,
500,condition1,100,100,100,X1,
500,condition1,92,82,100,3,
500,condition1,67,80,95,21,
500,condition1,72,87,75,17,
500,condition1,95,70,83,11,
500,condition1,100,87,77,5,
500,condition1,74,41,100,4,
500,condition1,91,46,84,10,
500,condition1,82,72,92,7,
500,condition1,71,61,77,20,
520,condition1,100,50,99,1,
520,condition1,78,50,100,2,
520,condition1,37,99,50,4,
520,condition1,18,100,46,3,
520,condition1,78,43,18,14,
520,condition1,26,52,77,8,
520,condition1,37,36,100,18,
520,condition1,15,67,100,9,
520,condition1,100,39,79,16,
520,condition1,50,51,12,7,
520,condition1,11,56,22,11,
520,condition1,22,69,32,6,
520,condition1,9,65,14,12,
520,condition1,47,47,46,X1,
520,condition1,4,100,55,10,
520,condition1,39,53,35,20,
520,condition1,20,53,90,22,
520,condition1,87,47,12,21,
520,condition1,48,12,78,17,
520,condition1,8,47,45,19,
520,condition1,60,6,48,13,
520,condition1,52,23,76,15,
520,condition1,33,0,22,5,
535,condition1,100,100,100,1,
535,condition1,100,100,100,2,
535,condition1,100,100,100,7,
535,condition1,100,100,100,6,
535,condition1,100,100,100,5,
535,condition1,100,100,100,17,
535,condition1,100,100,100,16,
535,condition1,100,100,100,8,
535,condition1,100,100,100,15,
535,condition1,100,100,100,11,
535,condition1,100,100,100,10,
535,condition1,100,100,100,13,
535,condition1,100,100,100,4,
535,condition1,100,100,100,X1,
535,condition1,100,100,100,21,
535,condition1,100,100,100,12,
535,condition1,100,100,100,19,
535,condition1,100,100,100,14,
